Região/Unidade da Federação,Administração Pública Federal,Administração Pública Estadual ou Distrito Federal,Administração Pública Municipal,Administração Pública - Outros,Empresa Pública ou Sociedade de Economia Mista,Demais Entidades Empresariais,Entidades sem Fins Lucrativos,Total
Região Norte,8,137,206,-,2,175,46,574
.. Rondônia,-,8,36,-,-,40,5,89
.. Acre,-,16,-,-,-,2,4,22
.. Amazonas,4,48,32,-,1,21,4,110
.. Roraima,-,11,1,-,-,3,-,15
.. Pará,4,27,109,-,-,81,30,251
.. Amapá,-,9,1,-,-,4,2,16
.. Tocantins,-,18,27,-,1,24,1,71
Região Nordeste,15,245,851,-,7,681,265,2064
.. Maranhão,-,35,169,-,1,53,9,267
.. Piauí,-,32,30,-,1,39,9,111
.. Ceará,2,14,139,-,-,82,58,295
.. Rio Grande do Norte,3,22,48,-,-,30,19,122
.. Paraíba,1,30,50,-,2,56,12,151
.. Pernambuco,5,44,120,-,-,92,41,302
.. Alagoas,1,13,19,-,-,39,13,85
.. Sergipe,-,10,5,-,2,31,13,61
.. Bahia,3,45,271,-,1,259,91,670
Região Sudeste,41,173,457,2,3,868,868,2412
.. Minas Gerais,7,20,124,1,1,213,330,696
.. Espírito Santo,-,19,14,-,1,34,40,108
.. Rio de Janeiro,30,35,124,-,-,209,67,465
.. São Paulo,4,99,195,1,1,412,431,1143
Região Sul,9,42,182,-,6,308,531,1078
.. Paraná,4,20,130,-,-,186,144,484
.. Santa Catarina,2,17,20,-,-,81,141,261
.. Rio Grande do Sul,3,5,32,-,6,41,246,333
Região Centro-Oeste,10,47,261,2,2,361,117,800
.. Mato Grosso do Sul,2,3,32,-,2,21,53,113
.. Mato Grosso,1,10,58,2,-,72,25,168
.. Goiás,3,17,171,-,-,214,33,438
.. Distrito Federal,4,17,-,-,-,54,6,81
Total,83,644,1957,4,20,2393,1827,6928
&,,,,,,,,
