OBJECTID,Codigo_do_estado_ou_DF,Estado_ou_DF_1,NOME,Pop_Total,Total_Enfermeiros,Enfermeiros_SUS,Enfermeiros_100mil_hab_Ind,Enfermeiros_SUS_100mil_hab,Shape__Area,Shape__Length
1,28,SE,SERGIPE,2298696,2337,2244,101.666336044436,97.6205640067238,22836830297.6592,916282.774503927
2,21,MA,MARANHÃO,7075181,7505,7280,106.075024794419,102.894894137691,334816187706.677,5793925.65958097
3,32,ES,ESPÍRITO SANTO,4018650,5164,4264,128.500864718251,106.105284112824,52186158001.2417,1701276.81254152
4,13,AM,AMAZONAS,4144597,4251,3977,102.567270110942,95.9562534065435,1581655872022.84,8429709.47691127
5,14,RR,RORAIMA,605761,782,754,129.093817528695,124.471532502092,226232560497.233,3738976.17409501
6,52,GO,GOIÁS,7018354,7090,6566,101.020837649398,93.5546995777073,370682868419.27,5184211.03181193
7,16,AP,AMAPÁ,845731,927,904,109.609320221205,106.889779374293,143578453088.39,2568656.2019863
8,43,RS,RIO GRANDE DO SUL,11377239,15729,14296,138.249710672334,125.65438767701,375560860250.646,4322117.409126
9,25,PB,PARAÍBA,4018127,5989,5891,149.049544725689,146.610597425119,57726458555,2136243.71210124
10,22,PI,PIAUÍ,3273227,3675,3557,112.274522970756,108.66951787945,257780275838.007,3413299.26587767
11,35,SP,SÃO PAULO,45919049,65705,49957,143.088764752075,108.793629415104,291377998269.352,4737858.27937471
12,42,SC,SANTA CATARINA,7164788,9163,8217,127.889338805279,114.685877656115,121617157898.045,3755731.88479536
13,26,PE,PERNAMBUCO,9557071,11218,10545,117.379058918784,110.337152460205,100821506999.329,2919419.18842091
14,33,RJ,RIO DE JANEIRO,17264943,24134,19565,139.786155100541,113.322123333972,51284465272.6494,3552642.6050489
15,50,MS,MATO GROSSO DO SUL,2778986,3551,3228,127.780420628244,116.157476144176,408569122940.201,4111220.66530375
16,51,MT,MATO GROSSO,3484466,4287,3668,123.03176440809,105.26720593629,958419651876.307,6240167.5769564
17,29,BA,BAHIA,14873064,18453,17323,124.069929370303,116.472301874046,596732975482.075,5950366.09449477
18,31,MG,MINAS GERAIS,21168791,27127,23393,128.146194083545,110.507019508105,656238606958.412,6530113.48668883
19,27,AL,ALAGOAS,3337357,3368,3206,100.918181662915,96.064041095993,28808804685.1445,1106232.58640461
20,23,CE,CEARÁ,9132078,10466,8778,114.606993063353,96.122700660244,151140487059.228,2185301.85253734
21,24,RN,RIO GRANDE DO NORTE,3506853,3913,3712,111.581523377227,105.849888774922,53717640323.2354,1552202.8341596
22,41,PR,PARANÁ,11433957,14657,12896,128.188342845788,112.786850606487,242369264305.906,3238890.84618799
23,11,RO,RONDÔNIA,1777225,1921,1786,108.089859190592,100.493747274543,248286995950.579,3603391.28348636
24,53,DF,DISTRITO FEDERAL,3015268,5976,4676,198.191338216039,155.077425953514,6256690192.32617,436265.058984177
25,12,AC,ACRE,881935,1049,1001,118.943006003844,113.50042803608,169564286401.606,2897316.28622296
26,15,PA,PARÁ,8602865,6499,6187,75.5446005487707,71.9179017687712,1263753676845.13,8114297.41624924
27,17,TO,TOCANTINS,1572866,2793,2733,177.573931917913,173.75923950292,288769150336.042,4233896.9874672
