OBJECTID,Codigo_do_estado_ou_DF,NOME,Pop_Total,Leitos_UTI_Total,Leitos_UTI_100mil_hab_Ind,Leitos_UTI_SUS_Total,Leitos_UTI_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
1,28,SERGIPE,2298696,241,10.4842049579414,146,6.35142706995618,1.81143986179512,8.16269101687702
2,21,MARANHÃO,7075181,572,8.08459882510426,303,4.28257595106047,26.8975470040974,51.9279425389022
3,32,ESPÍRITO SANTO,4018650,792,19.7081109327759,341,8.48543665161186,3.96725583336968,14.7977721454474
4,13,AMAZONAS,4144597,291,7.02118927364952,192,4.63253725271721,127.143326328346,75.6058568457934
5,14,RORAIMA,605761,25,4.12704020232402,17,2.80638733758033,18.2379731734403,33.5653063813864
6,52,GOIÁS,7018354,1028,14.6473090414077,525,7.48038642678896,28.7341547676455,45.7219405330286
7,16,AMAPÁ,845731,46,5.43908169382463,12,1.4188908766499,11.5803257787545,23.0646444759279
8,43,RIO GRANDE DO SUL,11377239,1621,14.2477449933152,987,8.67521548945223,26.2903635361828,36.1221987797283
9,25,PARAÍBA,4018127,489,12.1698492855004,310,7.7150373793561,4.62228654537054,19.1219307742037
10,22,PIAUÍ,3273227,234,7.14890840140326,147,4.49098091883026,20.6184735279226,30.5215786164168
11,35,SÃO PAULO,45919049,8519,18.5522134833411,3559,7.75059605437386,21.7534158639112,41.0481978012227
12,42,SANTA CATARINA,7164788,843,11.7658749986741,533,7.43915940011065,8.72410000091566,31.861765447234
13,26,PERNAMBUCO,9557071,1537,16.082333175091,814,8.51725387412106,8.04998339140264,26.0988353277458
14,33,RIO DE JANEIRO,17264943,4295,24.8770007523338,1202,6.96208496025733,3.83161495279722,30.8452049261983
15,50,MATO GROSSO DO SUL,2778986,391,14.0698801649235,199,7.16088530132933,30.9028218555898,35.7119973720228
16,51,MATO GROSSO,3484466,607,17.420172847145,204,5.85455561913935,75.3040070006656,55.2915114460721
17,29,BAHIA,14873064,1530,10.2870531586498,785,5.27799786244448,46.9863061902981,52.6925603699349
18,31,MINAS GERAIS,21168791,3162,14.9370835585273,2058,9.72185893847221,50.1956239946443,57.2039037092623
19,27,ALAGOAS,3337357,309,9.25882367394318,186,5.57327250276192,2.29276384160983,9.87598676456292
20,23,CEARÁ,9132078,863,9.45020399519146,458,5.01528786766823,12.1456632290012,19.5860327144922
21,24,RIO GRANDE DO NORTE,3506853,424,12.0906122954113,208,5.93124376756026,4.31221709371445,13.907713014316
22,41,PARANÁ,11433957,2057,17.9902723090528,1242,10.8623812386211,17.7743983725918,27.765752681097
23,11,RONDÔNIA,1777225,234,13.1665939878181,159,8.94653181223537,19.6678842941202,32.0801070640845
24,53,DISTRITO FEDERAL,3015268,907,30.0802449400849,181,6.00278316885929,0.485863408950593,3.87139315987278
25,12,ACRE,881935,48,5.44257796776406,33,3.74177235283779,13.5049648627427,25.8801612737288
26,15,PARÁ,8602865,722,8.39255294602438,352,4.09166016205067,101.587123418816,72.8068943701924
27,17,TOCANTINS,1572866,126,8.01085407148479,74,4.7047873118244,22.9242350616479,37.7049221637316
