OBJECTID,Codigo_do_estado_ou_DF,NOME,Pop_Total,Total_Medicos,Medicos_SUS,Medicos_100mil_hab_Ind,Medicos_SUS_100mil_hab_Ind,Shape__Area,Shape__Length
1,28,SERGIPE,2298696,3731,3087,162.309413684976,134.29352989695,1.81143986179512,8.16269101687702
2,21,MARANHÃO,7075181,5725,4943,80.9166578211921,69.8639370498083,26.8975470040974,51.9279425389022
3,32,ESPÍRITO SANTO,4018650,8981,6017,223.483010463713,149.726898336506,3.96725583336968,14.7977721454474
4,13,AMAZONAS,4144597,4611,3896,111.253277459787,94.0019017530534,127.143326328346,75.6058568457934
5,14,RORAIMA,605761,825,793,136.192326676693,130.909715217718,18.2379731734403,33.5653063813864
6,52,GOIÁS,7018354,11871,9050,169.142223376022,128.947613642743,28.7341547676455,45.7219405330286
7,16,AMAPÁ,845731,806,751,95.3021705483186,88.7989206970065,11.5803257787545,23.0646444759279
8,43,RIO GRANDE DO SUL,11377239,27706,21787,243.521297214553,191.496372713977,26.2903635361828,36.1221987797283
9,25,PARAÍBA,4018127,6221,5370,154.82337915153,133.64435718433,4.62228654537054,19.1219307742037
10,22,PIAUÍ,3273227,4116,3555,125.747465727247,108.608416098242,20.6184735279226,30.5215786164168
11,35,SÃO PAULO,45919049,119389,79960,259.99885145705,174.132526133109,21.7534158639112,41.0481978012227
12,42,SANTA CATARINA,7164788,15830,11177,220.941638468577,155.999033048849,8.72410000091566,31.861765447234
13,26,PERNAMBUCO,9557071,15021,12533,157.171585311023,131.13850467366,8.04998339140264,26.0988353277458
14,33,RIO DE JANEIRO,17264943,42879,28493,248.358769559795,165.033849228463,3.83161495279722,30.8452049261983
15,50,MATO GROSSO DO SUL,2778986,5430,4513,195.395010986022,162.39736364271,30.9028218555898,35.7119973720228
16,51,MATO GROSSO,3484466,5168,3493,148.315409018197,100.244915576734,75.3040070006656,55.2915114460721
17,29,BAHIA,14873064,20039,15967,134.733502121688,107.355148878536,46.9863061902981,52.6925603699349
18,31,MINAS GERAIS,21168791,46783,33205,220.999867210177,156.858273105913,50.1956239946443,57.2039037092623
19,27,ALAGOAS,3337357,4389,3854,131.511252766785,115.48060336368,2.29276384160983,9.87598676456292
20,23,CEARÁ,9132078,11498,8867,125.907816380894,97.09728716728,12.1456632290012,19.5860327144922
21,24,RIO GRANDE DO NORTE,3506853,5314,4299,151.53187202315,122.588543061257,4.31221709371445,13.907713014316
22,41,PARANÁ,11433957,23911,16941,209.122703539991,148.163929600225,17.7743983725918,27.765752681097
23,11,RONDÔNIA,1777225,2531,2061,142.413031551998,115.967308585013,19.6678842941202,32.0801070640845
24,53,DISTRITO FEDERAL,3015268,10196,6662,338.145730329775,220.942218071495,0.485863408950593,3.87139315987278
25,12,ACRE,881935,955,871,108.284624150306,98.7601127067188,13.5049648627427,25.8801612737288
26,15,PARÁ,8602865,7339,5853,85.3087895718461,68.0354742286436,101.587123418816,72.8068943701924
27,17,TOCANTINS,1572866,2294,2015,145.848406666556,128.11008693684,22.9242350616479,37.7049221637316
